Period,Quarter,Recipient Name,City,Province,Country,Title,Language,Genre,Date,Final Value,Original Value,Type,Purpose,Comments
2016-2017,P4,Buffalo Gal Pictures Inc.,Winnipeg,Manitoba,Canada,Portfolio 2016-2017 Buffalo Gal Pictures Inc.,English,Science fiction/Fantasy/Tale,2017-02-21,95000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Cineast Screen Development Limited,Halifax,Nova Scotia,Canada,Portfolio 2016-2017 Cineast Screen Development Limited,English,Thriller,2017-02-21,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Devonshire Productions Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 Devonshire Productions Inc.,English,Drama,2017-02-21,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Snitch Pictures Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 Snitch Pictures Inc.,English,Comedy,2017-02-21,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Snitch Pictures Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 Snitch Pictures Inc.,English,Horror,2017-02-21,30000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Angelique's Isle Productions Inc.,Mississauga,Ontario,Canada,Angelique's Isle  ,English,Historical Drama,2017-02-22,600000.00,600000.00,Investment,Production Program,
2016-2017,P4,Elevation Pictures Corp.,Toronto,Ontario,Canada,Below Her Mouth,English,Drama,2017-02-22,367599.00,367599.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Meditation Park Film Ltd. ,Vancouver,British Columbia,Canada,Meditation Park,English,Drama,2017-02-22,825000.00,825000.00,Investment,Production Program,
2016-2017,P4,BD Animation Inc.,Winnipeg,Manitoba,Canada,Ozzy,English,Action/Adventure,2017-02-23,400000.00,400000.00,Investment,Production Program,
2016-2017,P4,Elevation Pictures Corp.,Toronto,Ontario,Canada,Closet Monster,English,Drama,2017-02-24,203463.00,214900.00,Recoupable Advance,Marketing Program,Amended contract signed  04-OCT-16
